City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Marzuq,14.4,46.4667,60.22,40,0,1.79,YE,1613427815
Misratah,32.3754,15.0925,51.03,57,91,24.54,LY,1613427816
Lilongwe,-13.9669,33.7873,68.88,80,97,4.16,MW,1613427817
Marsá Maţrūḩ,31.3525,27.2453,55.4,58,75,20.71,EG,1613427818
Wasilla,61.5814,-149.4394,28.0,50,1,1.48,US,1613427655
Hambantota,6.1241,81.1185,74.32,85,21,12.93,LK,1613427821
Popondetta,-8.7537,148.2534,81.37,75,100,1.79,PG,1613427822
Trogir,43.5125,16.2517,35.6,41,0,4.61,HR,1613427823
San Cristobal,7.7669,-72.225,86.0,58,40,13.8,VE,1613427581
Feijó,-8.1642,-70.3536,80.58,93,98,2.28,BR,1613427825
Oron,4.8256,8.2343,81.9,79,46,5.64,NG,1613427826
Hoquiam,46.9809,-123.8893,46.99,93,90,17.27,US,1613427828
Syria,35.0,38.0,45.09,89,13,3.47,SY,1613427829
Hualmay,-11.0964,-77.6139,76.69,66,5,10.22,PE,1613427737
Hobyo,5.3505,48.5268,77.02,80,13,14.85,SO,1613427831
Sayyan,15.1718,44.3244,55.09,37,0,3.24,YE,1613427833
Guadalupe y Calvo,26.1,-106.9667,50.97,47,26,8.93,MX,1613427834
Zhigansk,66.7697,123.3711,-20.04,87,100,9.51,RU,1613427835
Bourail,-21.5667,165.4833,81.0,72,34,2.46,NC,1613427836
North Bend,43.4065,-124.2243,51.8,82,90,18.41,US,1613427837
Lavrentiya,65.5833,-171.0,-12.51,86,3,11.18,RU,1613427838
Chui,-33.6971,-53.4616,71.91,85,99,7.45,UY,1613427840
Pacific Grove,36.6177,-121.9166,59.0,88,90,12.66,US,1613427841
Nouakchott,18.0858,-15.9785,80.6,12,100,5.75,MR,1613427842
Massaguet,12.4755,15.4365,80.6,12,0,11.5,TD,1613427843
Ponta do Sol,32.6667,-17.1,63.0,88,20,3.44,PT,1613427844
Coihueco,-36.6167,-71.8333,80.6,41,20,11.5,CL,1613427845
Ust-Tsilma,65.441,52.1498,-23.26,86,84,4.16,RU,1613427846
Jacareacanga,-6.2222,-57.7528,75.42,95,100,2.59,BR,1613427850
Ushirombo,-3.4919,31.9639,65.71,93,68,2.64,TZ,1613427851
Vila Velha,-20.3297,-40.2925,84.99,94,90,9.22,BR,1613427852
Tazovsky,67.4667,78.7,-4.63,91,100,18.75,RU,1613427853
Samarai,-10.6167,150.6667,82.36,73,100,3.87,PG,1613427854
Brigantine,39.4101,-74.3646,37.4,87,90,10.36,US,1613427556
Ciudad del Maíz,22.4,-99.6,49.82,47,0,8.93,MX,1613427655
Mitchell,43.7094,-98.0298,-2.2,50,1,6.91,US,1613427858
Makurdi,7.7411,8.5121,85.24,25,2,1.81,NG,1613427859
Noumea,-22.2763,166.4572,82.0,78,0,2.3,NC,1613427744
Bereda,43.2686,-7.5406,60.01,67,100,5.99,ES,1613427861
Guerrero Negro,27.9769,-114.0611,64.06,57,21,14.32,MX,1613427862
Upernavik,72.7868,-56.1549,-4.86,90,100,6.24,GL,1613427695
Maniitsoq,65.4167,-52.9,4.64,84,64,10.8,GL,1613427787
Isil'kul',54.9109,71.2728,5.18,95,96,4.32,RU,1613427866
Aban,56.67,96.06,5.4,95,100,5.75,RU,1613427867
Acapulco de Juárez,16.8634,-99.8901,80.6,57,1,12.66,MX,1613427677
Jérémie,18.65,-74.1167,80.71,66,13,1.9,HT,1613427869
Panzhihua,26.5851,101.7128,44.01,64,0,2.33,CN,1613427870
León,21.1167,-101.6667,75.2,8,1,12.66,MX,1613427872
Athabasca,54.7169,-113.2854,1.4,51,98,9.22,CA,1613427873
Vaitape,-16.5167,-151.75,82.2,72,100,12.73,PF,1613427874
Mala,-12.6581,-76.6308,75.43,63,0,5.23,PE,1613427875
Klaksvík,62.2266,-6.589,44.6,100,90,18.41,FO,1613427876
Andenes,69.3143,16.1194,32.0,86,2,11.5,NO,1613427877
Yuancheng,36.652,107.7896,30.61,73,97,9.91,CN,1613427878
Merauke,-8.4667,140.3333,77.36,88,100,7.31,ID,1613427880
Olinda,-8.0089,-34.8553,80.6,74,40,6.91,BR,1613427772
St Austell,50.3383,-4.7658,53.6,82,90,27.63,GB,1613427826
San Andrés,12.5847,-81.7006,84.2,74,40,9.22,CO,1613427883
Huarmey,-10.0681,-78.1522,76.62,66,57,10.09,PE,1613427884
Bandarbeyla,9.4942,50.8122,74.71,76,69,10.31,SO,1613427886
Rocha,-34.4833,-54.3333,71.2,86,100,7.0,UY,1613427887
Shingū,33.7333,135.9833,39.16,72,0,9.22,JP,1613427888
Goundam,16.4145,-3.6708,80.98,14,0,17.11,ML,1613427889
Novomalorossiyskaya,45.6348,39.8948,28.0,91,100,9.17,RU,1613427890
Talara,-4.5772,-81.2719,82.4,65,20,9.22,PE,1613427891
Sangamner,19.5667,74.2167,68.09,49,0,5.95,IN,1613427892
Kalabo,-14.97,22.6814,70.21,74,56,4.72,ZM,1613427894
Wajima,37.4,136.9,36.46,82,100,31.38,JP,1613427895
Kamaishi,39.2667,141.8833,34.75,81,63,33.42,JP,1613427896
Bambous Virieux,-20.3428,57.7575,79.0,89,75,4.61,MU,1613427897
Nabire,-3.3667,135.4833,74.39,91,100,3.38,ID,1613427898
Ilulissat,69.2167,-51.1,3.2,55,75,9.22,GL,1613427725
Paoua,7.2427,16.4406,75.54,20,50,4.05,CF,1613427901
College,64.8569,-147.8028,3.99,71,75,0.58,US,1613427905
Morro Bay,35.3658,-120.8499,62.01,92,100,1.99,US,1613427906
Kamenka,51.3223,42.7678,-9.06,91,0,2.68,RU,1613427907
Los Andes,-32.8337,-70.5983,73.99,99,26,1.99,CL,1613427908
Olgina,59.3953,28.1253,20.34,96,100,11.72,EE,1613427909
Rāzampeta,14.1833,79.1667,65.05,70,0,3.36,IN,1613427911
Yiyang,28.5892,112.3283,48.54,78,99,8.16,CN,1613427912
Bambanglipuro,-7.95,110.2833,76.53,87,79,3.36,ID,1613427913
Canutama,-6.5339,-64.3831,82.35,79,80,1.9,BR,1613427914
San Remigio,11.0809,123.9381,77.77,82,100,10.56,PH,1613427915
Chimoré,-16.9833,-65.1333,76.14,95,100,2.57,BO,1613427916
Yangi Marg`ilon,40.4272,71.7189,50.0,32,21,6.91,UZ,1613427918
Airai,-8.9266,125.4092,59.54,100,80,2.3,TL,1613427919
Uvat,59.1433,68.8953,-9.71,91,90,4.74,RU,1613427920
Jumla,29.2747,82.1838,34.41,79,8,4.41,NP,1613427921
Sola,-13.8833,167.55,84.2,84,40,11.83,VU,1613427922
Birin,26.8865,88.0718,48.31,73,0,3.83,NP,1613427923
Qarchī Gak,37.04,66.7889,53.6,43,1,3.44,AF,1613427924
Karratha,-20.7377,116.8463,80.55,78,19,9.48,AU,1613427926
Tiznit Province,29.5833,-9.5,61.92,32,0,6.53,MA,1613427927
Beringovskiy,63.05,179.3167,-7.87,88,99,16.89,RU,1613427928
Srednekolymsk,67.45,153.6833,-18.06,88,100,2.42,RU,1613427929
Diamantino,-14.4086,-56.4461,77.76,85,80,2.91,BR,1613427930
Lanzhou,36.0564,103.7922,35.01,42,100,2.59,CN,1613427931
Yei,4.095,30.6779,81.3,31,78,1.81,SS,1613427933
Tekeli,44.83,78.8239,31.06,79,24,11.34,KZ,1613427934
Dryden,49.7833,-92.7503,-0.4,46,1,8.05,CA,1613427935
San Matías,-16.3667,-58.4,84.15,69,63,5.41,BO,1613427936
Smithers,54.7804,-127.1743,19.4,86,90,2.3,CA,1613427745
Kidal,18.4411,1.4078,74.46,18,88,1.48,ML,1613427939
Bontang,0.1333,117.5,76.77,85,100,6.24,ID,1613427940
Sept-Îles,50.2001,-66.3821,18.0,57,75,5.75,CA,1613427941
Port Lincoln,-34.7333,135.8667,69.13,69,5,9.8,AU,1613427722
Tupik,54.4253,119.9327,-20.36,82,100,5.35,RU,1613427943
Maumere,-8.6199,122.2111,78.46,76,75,3.18,ID,1613427740
Vardø,70.3705,31.1107,26.6,59,40,12.66,NO,1613427946
Kuliyapitiya,7.4688,80.0401,73.4,94,1,2.3,LK,1613427947
Pochutla,15.7432,-96.4661,84.0,51,1,11.5,MX,1613427734
Cuamba,-14.8031,36.5372,70.74,95,99,3.87,MZ,1613427730
Agadez,19.75,10.25,66.34,21,0,11.16,NE,1613427950
Lompoc,34.6391,-120.4579,60.8,72,40,14.97,US,1613427951
Puerto Escondido,15.85,-97.0667,82.4,78,20,11.5,MX,1613427953
Caucaia,-3.7361,-38.6531,82.4,78,0,6.91,BR,1613427954
Potsdam,52.3989,13.0657,30.0,91,100,1.01,DE,1613427760
Peniche,39.3558,-9.3811,57.0,83,100,15.84,PT,1613427956
Alta Floresta,-9.8756,-56.0861,86.0,66,40,6.91,BR,1613427957
Mubende,0.5606,31.39,65.88,83,97,1.9,UG,1613427958
Gisborne,-38.6533,178.0042,63.0,94,100,15.01,NZ,1613427959
Atar,20.5169,-13.0499,72.14,20,7,12.03,MR,1613427961
Camacha,33.0833,-16.3333,60.8,94,20,8.05,PT,1613427698
Saint-Pierre,-21.3393,55.4781,78.8,69,0,6.91,RE,1613427670
Lucapa,-8.4192,20.7447,68.49,88,93,2.98,AO,1613427964
Otradnoye,59.7775,30.8181,21.99,79,75,13.42,RU,1613427965
Pacifica,37.6138,-122.4869,57.2,100,90,9.22,US,1613427966
Ilebo,-4.3167,20.5833,75.99,75,100,1.9,CD,1613427968
Bolobo,-2.1667,16.2333,74.68,90,100,0.92,CD,1613427969
Strezhevoy,60.7333,77.5889,5.0,92,75,8.95,RU,1613427970
Felanitx,39.4696,3.1483,48.0,81,75,4.61,ES,1613427971
Gujranwala,32.1617,74.1883,53.6,100,90,1.59,PK,1613427972
Jarocin,51.9727,17.5026,27.0,69,100,1.01,PL,1613427973
Alofi,-19.0595,-169.9187,84.2,74,40,9.22,NU,1613427975
Suntar,62.1444,117.6319,-21.77,86,100,7.7,RU,1613427976
Wanaka,-44.7,169.15,49.73,65,90,6.96,NZ,1613427977
Olden,61.8364,6.8064,35.6,75,75,1.14,NO,1613427978
Cassilândia,-19.1133,-51.7342,76.59,85,58,3.38,BR,1613427979
Benjamin Constant,-4.3831,-70.0311,87.8,70,20,2.3,BR,1613427980
Moerai,-22.4333,-151.3333,82.51,73,77,15.43,PF,1613427981
Along,28.1667,94.7667,55.31,78,89,1.83,IN,1613427983
Maragogi,-9.0122,-35.2225,79.68,80,83,8.46,BR,1613427984
Placer,39.0666,-120.7677,46.99,96,100,5.01,US,1613427985
Homer,59.6425,-151.5483,35.01,80,90,4.61,US,1613427986
Ciudad Bolivar,8.1222,-63.5497,87.37,45,100,15.64,VE,1613427987
Vostok,46.4856,135.8833,-1.89,93,100,6.17,RU,1613427988
Alekseyevskaya,50.2896,42.1845,1.99,81,0,3.98,RU,1613427989
Sobolevo,54.4299,31.8996,-7.28,92,58,3.04,RU,1613427991
Talnakh,69.4865,88.3972,-14.66,78,100,6.55,RU,1613427992
Kieta,-6.2167,155.6333,82.31,77,100,7.0,PG,1613427993
Muhafazat Lahij,13.1667,44.5833,70.99,52,1,2.68,YE,1613427994
Strzegom,50.9626,16.3501,27.0,58,100,7.05,PL,1613427995
Marrakesh,31.6315,-8.0083,60.8,41,0,4.61,MA,1613427914
Fare,-16.7,-151.0167,81.95,73,100,13.73,PF,1613427704
San Quintín,30.4833,-115.95,61.27,66,43,17.09,MX,1613427999
Bay Roberts,47.5999,-53.2648,27.0,70,59,3.0,CA,1613428000
Swan Hill,-35.3378,143.5544,73.35,47,82,11.81,AU,1613428001
Whitehorse,60.7161,-135.0538,-13.0,70,1,2.82,CA,1613428002
Carauari,-4.8828,-66.8958,84.52,73,14,2.04,BR,1613428003
Bara,10.3744,10.7288,78.03,16,0,11.52,NG,1613428005
Yulara,-25.2406,130.9889,75.2,33,0,9.22,AU,1613427720
Bariloche,-41.1456,-71.3082,79.0,27,20,11.5,AR,1613428007
Nortelândia,-14.4547,-56.8028,78.3,87,100,1.88,BR,1613428008
Pangai,-19.8,-174.35,84.2,74,75,4.61,TO,1613428009
Kathmandu,27.7167,85.3167,48.2,93,20,2.3,NP,1613427810
Grand Gaube,-20.0064,57.6608,79.0,82,99,1.99,MU,1613428012
Vanimo,-2.6741,141.3028,77.13,86,100,6.8,PG,1613428013
Ajdabiya,30.7554,20.2263,50.83,60,40,21.21,LY,1613428014
Mogwase,-25.185,27.2665,68.9,87,100,13.69,ZA,1613428015
Kirovskiy,45.0917,133.5136,0.39,93,100,9.75,RU,1613428016
Kiryat Gat,31.61,34.7642,55.0,73,62,5.39,IL,1613428017
Tuatapere,-46.1333,167.6833,53.01,67,95,8.99,NZ,1613428018
Stephenville,32.2207,-98.2023,15.01,52,1,14.97,US,1613428020
San Rafael del Sur,11.8485,-86.4384,91.4,46,40,9.22,NI,1613427962
Juneau,58.3019,-134.4197,30.2,40,90,4.36,US,1613428022
Los Llanos de Aridane,28.6585,-17.9182,66.2,68,0,2.3,ES,1613428023
Monrovia,6.3005,-10.7969,80.44,86,65,7.61,LR,1613428024
Ilām,26.9167,87.9167,52.77,64,0,4.16,NP,1613428025
Zliten,32.4674,14.5687,50.72,55,82,21.14,LY,1613427849
Bulawayo,-20.15,28.5833,67.41,90,100,1.92,ZW,1613428028
Tallahassee,30.4383,-84.2807,71.6,94,75,16.11,US,1613428018
Mayo,38.8876,-76.5119,37.4,81,90,8.05,US,1613428030
Nsoko,-27.0333,31.95,66.88,90,100,18.79,SZ,1613428031
Mandalgovi,45.7625,106.2708,0.43,87,95,11.16,MN,1613428032
Dawlatabad,36.4141,64.9053,51.26,50,2,2.57,AF,1613428033
Streator,41.1209,-88.8354,5.0,78,90,16.11,US,1613428035
Sisimiut,66.9395,-53.6735,3.79,83,1,13.31,GL,1613428036
Kattivākkam,13.2167,80.3167,71.6,88,20,3.62,IN,1613428037
Puerto Limón,10.0,-83.0333,84.2,65,0,4.61,CR,1613428038
Da Lat,11.9465,108.4419,52.03,83,0,2.04,VN,1613428039
Dhārchula,29.85,80.5333,47.14,51,1,7.65,IN,1613428041
La Roche-sur-Yon,46.6667,-1.4333,48.2,81,0,11.5,FR,1613428042
Nome,64.5011,-165.4064,12.2,57,1,3.44,US,1613428043
Salé,34.0389,-6.8166,57.0,93,19,3.44,MA,1613427952
Mount Isa,-20.7333,139.5,78.8,61,1,1.14,AU,1613428045
Kalmunai,7.4167,81.8167,73.92,82,19,3.49,LK,1613428046
Buckeye,33.3703,-112.5838,69.01,16,1,9.22,US,1613428048
Aswān,24.0934,32.907,64.54,28,15,11.97,EG,1613428049
Ikom,5.9667,8.7063,78.44,75,59,2.8,NG,1613428050
Jiuquan,39.7432,98.5174,29.5,80,99,1.83,CN,1613428051
Thunder Bay,48.4001,-89.3168,6.01,36,1,6.91,CA,1613427927
Linxia Chengguanzhen,35.6003,103.2064,30.24,85,51,1.19,CN,1613428053
Berlevåg,70.8578,29.0864,24.8,80,90,8.05,NO,1613428055
Tougue,11.4667,-11.6,74.28,24,4,1.72,GN,1613428056
Caravelas,-17.7125,-39.2481,77.56,77,70,9.53,BR,1613428057
Mount Holly,35.2982,-81.0159,41.0,93,90,8.05,US,1613428058
Kahului,20.8947,-156.47,80.6,65,40,8.05,US,1613428059
Aromashevo,56.8602,68.6375,-5.76,90,0,7.7,RU,1613428060
Poum,-20.2333,164.0167,80.85,73,0,3.69,NC,1613428061
Gornyye Klyuchi,45.25,133.5,-0.4,93,100,9.04,RU,1613428063
Dongsheng,39.8161,109.9776,17.01,79,0,11.25,CN,1613428024
Quang Ngai,15.1167,108.8,62.08,89,78,4.05,VN,1613428065
Dubbo,-32.25,148.6167,73.4,60,2,13.8,AU,1613428066
Cockburn Town,21.4612,-71.1419,77.88,79,33,24.0,TC,1613428067
Havre-St-Pierre,50.2334,-63.5986,12.2,62,40,9.22,CA,1613428069
Rio Verde de Mato Grosso,-18.9181,-54.8442,79.27,80,88,1.92,BR,1613428070
Zyryanka,65.75,150.85,-23.39,82,99,3.96,RU,1613428071
Shiozawa,37.0333,138.85,37.99,88,92,1.99,JP,1613428072
Inírida,3.8653,-67.9239,86.34,69,80,1.48,CO,1613428073
Nanchang,28.6833,115.8833,52.5,89,100,9.55,CN,1613428074
Gannan,47.9147,123.5031,-6.86,85,96,7.43,CN,1613428076
Şercaia,45.8333,25.1333,21.99,84,99,5.01,RO,1613428077
Husavik,66.0449,-17.3389,37.4,81,0,5.75,IS,1613428078
Winnemucca,40.973,-117.7357,48.2,49,20,16.11,US,1613428079
Cerknica,45.7931,14.3625,28.99,78,91,14.0,SI,1613428080
Ramnagar,29.4,79.1167,56.68,45,0,5.57,IN,1613428081
Margate,51.3813,1.3862,48.0,85,99,5.01,GB,1613428083
Raudeberg,61.9875,5.1352,37.99,76,97,8.81,NO,1613428084
Hofn,64.2539,-15.2082,43.56,92,100,13.29,IS,1613428085
Bemidji,47.4736,-94.8803,6.01,42,1,4.61,US,1613427954
Jiangkou,25.4872,119.1986,53.6,87,75,4.47,CN,1613428087
Karatuzskoye,53.6072,92.8667,19.26,95,100,2.98,RU,1613428088
Nikolayevsk-on-Amur,53.1406,140.73,4.84,92,100,7.43,RU,1613428089
Portland,45.5234,-122.6762,48.99,81,90,6.91,US,1613428072
Chicama,-7.8447,-79.1469,73.4,83,0,8.05,PE,1613428092
Praia da Vitória,38.7333,-27.0667,57.2,72,20,13.09,PT,1613428093
Dagana,16.5165,-15.5068,80.6,26,0,2.3,MR,1613428094
Gimbi,9.1667,35.8333,67.21,32,92,2.89,ET,1613428095
Lamar,33.6668,-95.5836,12.99,62,1,13.8,US,1613428097
South Sioux City,42.4739,-96.4136,-2.99,59,1,8.05,US,1613428098
Pinega,64.7001,43.3936,-5.89,91,98,1.59,RU,1613428099
Palmer,42.1584,-72.3287,30.0,86,90,4.61,US,1613428100
Lake Shasta,40.6804,-122.3708,53.01,95,99,1.99,US,1613428101
Scarborough,54.2797,-0.4044,43.0,91,99,5.99,GB,1613427964
Savonlinna,61.8699,28.88,24.8,93,90,13.8,FI,1613428103
Cervo,43.6702,-7.4101,60.01,70,100,7.0,ES,1613428105
Río Gallegos,-51.6226,-69.2181,66.2,32,0,16.11,AR,1613427980
Saint-Augustin,51.226,-58.6502,7.07,91,7,8.63,CA,1613428107
Turukhansk,65.8167,87.9833,-10.03,89,100,17.58,RU,1613428108
Evans,33.5337,-82.1307,48.99,87,90,10.36,US,1613428104
Kyshtovka,56.555,76.6271,18.48,97,100,9.33,RU,1613428110
Fayaoué,-20.65,166.5333,82.18,78,85,11.39,NC,1613428111
San Ignacio,17.1561,-89.0714,91.4,46,20,6.91,BZ,1613428113
Fort Nelson,58.8053,-122.7002,3.2,66,75,2.3,CA,1613428114
Poddor'ye,57.4695,31.1156,5.52,93,59,7.58,RU,1613428115
Cayenne,4.9333,-52.3333,77.0,88,94,2.3,GF,1613428116
Usinsk,65.9939,57.5281,-17.1,88,100,7.9,RU,1613428117
Yerbogachën,61.2767,108.0108,-35.5,82,0,3.58,RU,1613428118
Tual,-5.6667,132.75,82.2,78,100,23.58,ID,1613428120
Waslala,13.2333,-85.3833,80.6,57,40,5.7,NI,1613428121
Gaziantep,37.0594,37.3825,41.0,93,0,4.9,TR,1613427916
Lodwar,3.1191,35.5973,84.31,34,18,5.82,KE,1613428123
Kaoma,-14.7833,24.8,65.3,74,95,4.74,ZM,1613428124
Micheweni,-4.9667,39.8333,80.08,80,97,12.97,TZ,1613428125
Saldanha,-33.0117,17.9442,62.6,55,0,12.66,ZA,1613428126
Simao,22.7886,100.9748,50.22,80,0,0.94,CN,1613428129
Jalu,29.0331,21.5482,50.0,57,96,19.1,LY,1613428130
Nago,26.5881,127.9761,59.0,67,90,6.91,JP,1613428131
Empório,40.4833,21.55,21.2,58,8,6.91,GR,1613428132
Esim,4.8699,-2.2405,80.71,85,44,8.14,GH,1613428133
